country,region,year,co2,gdp
Afghanistan,South Asia,1964,0.0863,1182.0
Afghanistan,South Asia,1965,0.101,1182.0
Afghanistan,South Asia,1966,0.108,1168.0
Afghanistan,South Asia,1967,0.124,1173.0
Afghanistan,South Asia,1968,0.116,1187.0
Afghanistan,South Asia,1969,0.0868,1178.0
Afghanistan,South Asia,1970,0.15,1174.0
Afghanistan,South Asia,1971,0.166,1092.0
Afghanistan,South Asia,1972,0.131,1046.0
Afghanistan,South Asia,1973,0.136,1137.0
Afghanistan,South Asia,1974,0.156,1170.0
Afghanistan,South Asia,1975,0.169,1201.0
Afghanistan,South Asia,1976,0.155,1231.0
Afghanistan,South Asia,1977,0.183,1119.0
Afghanistan,South Asia,1978,0.163,1179.0
Afghanistan,South Asia,1979,0.168,1155.0
Afghanistan,South Asia,1980,0.133,1158.0
Afghanistan,South Asia,1981,0.152,1284.0
Afghanistan,South Asia,1982,0.165,1402.0
Afghanistan,South Asia,1983,0.204,1454.0
Afghanistan,South Asia,1984,0.235,1429.0
Afghanistan,South Asia,1985,0.298,1384.0
Afghanistan,South Asia,1986,0.271,1486.0
Afghanistan,South Asia,1987,0.272,1230.0
Afghanistan,South Asia,1988,0.248,1113.0
Afghanistan,South Asia,1989,0.236,1087.0
Afghanistan,South Asia,1990,0.213,1028.0
Afghanistan,South Asia,1991,0.188,1022.0
Afghanistan,South Asia,1992,0.0997,941.0
Afghanistan,South Asia,1993,0.0891,810.0
Afghanistan,South Asia,1994,0.08,725.0
Afghanistan,South Asia,1995,0.0727,872.0
Afghanistan,South Asia,1996,0.066,895.0
Afghanistan,South Asia,1997,0.0597,921.0
Afghanistan,South Asia,1998,0.0552,947.0
Afghanistan,South Asia,1999,0.0423,972.0
Afghanistan,South Asia,2000,0.0385,962.0
Afghanistan,South Asia,2001,0.039,862.0
Afghanistan,South Asia,2002,0.0487,1053.0
Afghanistan,South Asia,2003,0.0518,1097.0
Afghanistan,South Asia,2004,0.0394,1067.0
Afghanistan,South Asia,2005,0.0529,1146.0
Afghanistan,South Asia,2006,0.0637,1173.0
Afghanistan,South Asia,2007,0.0854,1298.0
Afghanistan,South Asia,2008,0.154,1311.0
Afghanistan,South Asia,2009,0.242,1548.0
Afghanistan,South Asia,2010,0.294,1637.0
